,title,main_speaker,website_link,event
51,Global priorities bigger than climate change,Bjorn Lomborg,"https://www.ted.com/talks/bjorn_lomborg_sets_global_priorities
",TED2005
52,Dreams from endangered cultures,Wade Davis,"https://www.ted.com/talks/wade_davis_on_endangered_cultures
",TED2003
53,Photos of endangered cultures,Phil Borges,"https://www.ted.com/talks/phil_borges_on_endangered_cultures
",TED2006
54,Is this our final century?,Martin Rees,"https://www.ted.com/talks/martin_rees_asks_is_this_our_final_century
",TEDGlobal 2005
55,Progress is not a zero-sum game,Robert Wright,"https://www.ted.com/talks/robert_wright_on_optimism
",TED2006
56,"How the ""ghost map"" helped end a killer disease",Steven Johnson,"https://www.ted.com/talks/steven_johnson_tours_the_ghost_map
",TEDSalon 2006
57,The era of open innovation,Charles Leadbeater,"https://www.ted.com/talks/charles_leadbeater_on_innovation
",TEDGlobal 2005
58,"A dance of ""Symbiosis""",Pilobolus,"https://www.ted.com/talks/pilobolus_perform_symbiosis
",TED2005
59,Four American characters,Anna Deavere Smith,"https://www.ted.com/talks/anna_deavere_smith_s_american_character
",TED2005
60,Everyday inventions,Saul Griffith,"https://www.ted.com/talks/saul_griffith_on_everyday_inventions
",TED2006
61,Unleash your creativity in a Fab Lab,Neil Gershenfeld,"https://www.ted.com/talks/neil_gershenfeld_on_fab_labs
",TED2006
62,In praise of slowness,Carl Honoré,"https://www.ted.com/talks/carl_honore_praises_slowness
",TEDGlobal 2005
63,My wish: Rebuilding Rwanda,Bill Clinton,"https://www.ted.com/talks/bill_clinton_on_rebuilding_rwanda
",TED2007
64,My wish: Build the Encyclopedia of Life,E.O. Wilson,"https://www.ted.com/talks/e_o_wilson_on_saving_life_on_earth
",TED2007
65,My wish: Let my photographs bear witness,James Nachtwey,"https://www.ted.com/talks/james_nachtwey_s_searing_pictures_of_war
",TED2007
66,What separates us from chimpanzees?,Jane Goodall,"https://www.ted.com/talks/jane_goodall_on_what_separates_us_from_the_apes
",TED2002
67,How to get your ideas to spread,Seth Godin,"https://www.ted.com/talks/seth_godin_on_sliced_bread
",TED2003
68,How we discovered DNA,James Watson,"https://www.ted.com/talks/james_watson_on_how_he_discovered_dna
",TED2005
69,Visual illusions that show how we (mis)think,Al Seckel,"https://www.ted.com/talks/al_seckel_says_our_brains_are_mis_wired
",TED2004
70,To invent is to give,Dean Kamen,"https://www.ted.com/talks/dean_kamen_on_inventing_and_giving
",TED2002
71,The life code that will reshape the future,Juan Enriquez,"https://www.ted.com/talks/juan_enriquez_on_genomics_and_our_future
",TED2003
72,Happiness by design,Stefan Sagmeister,"https://www.ted.com/talks/stefan_sagmeister_shares_happy_design
",TED2004
73,The route to a sustainable future,Alex Steffen,"https://www.ted.com/talks/alex_steffen_sees_a_sustainable_future
",TEDGlobal 2005
74,How architecture can connect us,Thom Mayne,"https://www.ted.com/talks/thom_mayne_on_architecture_as_connection
",TED2005
75,Great cars are great art,Chris Bangle,"https://www.ted.com/talks/chris_bangle_says_great_cars_are_art
",TED2002
76,"Singing ""What I Want""",Nora York,"https://www.ted.com/talks/nora_york_sings_what_i_want
",TEDSalon 2006
77,Design is in the details,Paul Bennett,"https://www.ted.com/talks/paul_bennett_finds_design_in_the_details
",TEDGlobal 2005
78,"Art with wire, sugar, chocolate and string",Vik Muniz,"https://www.ted.com/talks/vik_muniz_makes_art_with_wire_sugar
",TED2003
79,A philosophical quest for our biggest problems,Nick Bostrom,"https://www.ted.com/talks/nick_bostrom_on_our_biggest_problems
",TEDGlobal 2005
80,Biomimicry's surprising lessons from nature's engineers,Janine Benyus,"https://www.ted.com/talks/janine_benyus_shares_nature_s_designs
",TED2005
81,Sampling the ocean's DNA,Craig Venter,"https://www.ted.com/talks/craig_venter_on_dna_and_the_sea
",TEDGlobal 2005
82,Software (as) art,Golan Levin,"https://www.ted.com/talks/golan_levin_on_software_as_art
",TED2004
83,The gentle genius of bonobos,Susan Savage-Rumbaugh,"https://www.ted.com/talks/susan_savage_rumbaugh_on_apes_that_write
",TED2004
84,The story of life in photographs,Frans Lanting,"https://www.ted.com/talks/frans_lanting_s_lyrical_nature_photos
",TED2005
85,The shrimp with a kick!,Sheila Patek,"https://www.ted.com/talks/sheila_patek_clocks_the_fastest_animals
",TED2004
