,title,main_speaker,website_link,event
722,"Don't build your home, grow it!",Mitchell Joachim,"https://www.ted.com/talks/mitchell_joachim_don_t_build_your_home_grow_it
",TED2010
723,Fractals and the art of roughness,Benoit Mandelbrot,"https://www.ted.com/talks/benoit_mandelbrot_fractals_the_art_of_roughness
",TED2010
724,Obesity + hunger = 1 global food issue,Ellen  Gustafson,"https://www.ted.com/talks/ellen_gustafson_obesity_hunger_1_global_food_issue
",TEDxEast
725,Life science in prison,Nalini Nadkarni,"https://www.ted.com/talks/nalini_nadkarni_life_science_in_prison
",TED2010
726,"Global population growth, box by box",Hans Rosling,"https://www.ted.com/talks/hans_rosling_on_global_population_growth
",TED@Cannes
727,The oil spill's unseen villains -- and victims,Carl Safina,"https://www.ted.com/talks/carl_safina_the_oil_spill_s_unseen_culprits_victims
",TEDxOilSpill
728,When ideas have sex,Matt Ridley,"https://www.ted.com/talks/matt_ridley_when_ideas_have_sex
",TEDGlobal 2010
729,Listening to global voices,Ethan Zuckerman,"https://www.ted.com/talks/ethan_zuckerman
",TEDGlobal 2010
730,The politics of fiction,Elif Shafak,"https://www.ted.com/talks/elif_shafak_the_politics_of_fiction
",TEDGlobal 2010
731,Why the world needs WikiLeaks,Julian Assange,"https://www.ted.com/talks/julian_assange_why_the_world_needs_wikileaks
",TEDGlobal 2010
732,Superheroes inspired by Islam,Naif Al-Mutawa,"https://www.ted.com/talks/naif_al_mutawa_superheroes_inspired_by_islam
",TEDGlobal 2010
733,How we found hundreds of potential Earth-like planets,Dimitar Sasselov,"https://www.ted.com/talks/dimitar_sasselov_how_we_found_hundreds_of_potential_earth_like_planets
",TEDGlobal 2010
734,A headset that reads your brainwaves,Tan Le,"https://www.ted.com/talks/tan_le_a_headset_that_reads_your_brainwaves
",TEDGlobal 2010
735,The bio-future of joint replacement,Kevin Stone,"https://www.ted.com/talks/kevin_stone_the_bio_future_of_joint_replacement
",TED2010
736,The art of choosing,Sheena Iyengar,"https://www.ted.com/talks/sheena_iyengar_on_the_art_of_choosing
",TEDGlobal 2010
737,The oil spill's toxic trade-off,Susan Shaw,"https://www.ted.com/talks/susan_shaw_the_oil_spill_s_toxic_trade_off
",TEDxOilSpill
738,What matters more than your talents,Jeff Bezos,"https://www.ted.com/talks/jeff_bezos_gifts_vs_choices
",Princeton University
739,Wiring an interactive ocean,John Delaney,"https://www.ted.com/talks/john_delaney_wiring_an_interactive_ocean
",Mission Blue Voyage
740,A monkey economy as irrational as ours,Laurie Santos,"https://www.ted.com/talks/laurie_santos
",TEDGlobal 2010
741,My mind-shifting Everest swim,Lewis Pugh,"https://www.ted.com/talks/lewis_pugh_s_mind_shifting_mt_everest_swim
",TEDGlobal 2010
742,How big brands can help save biodiversity,Jason Clay,"https://www.ted.com/talks/jason_clay_how_big_brands_can_save_biodiversity
",TEDGlobal 2010
743,Our century's greatest injustice,Sheryl WuDunn,"https://www.ted.com/talks/sheryl_wudunn_our_century_s_greatest_injustice
",TEDGlobal 2010
744,The case for same-sex marriage,Diane J. Savino,"https://www.ted.com/talks/diane_j_savino_the_case_for_same_sex_marriage
",New York State Senate
745,"Meet Milo, the virtual boy",Peter Molyneux,"https://www.ted.com/talks/peter_molyneux_demos_milo_the_virtual_boy
",TEDGlobal 2010
746,The Axis of Evil Middle East Comedy Tour,Jamil Abu-Wardeh,"https://www.ted.com/talks/jamil_abu_wardeh_bringing_comedy_to_the_axis_of_evil
",TEDGlobal 2010
747,Did you hear the one about the Iranian-American?,Maz Jobrani,"https://www.ted.com/talks/maz_jobrani_make_jokes_not_bombs
",TEDGlobal 2010
748,The game layer on top of the world,Seth Priebatsch,"https://www.ted.com/talks/seth_priebatsch_the_game_layer_on_top_of_the_world
",TEDxBoston 2010
749,The beauty of data visualization,David McCandless,"https://www.ted.com/talks/david_mccandless_the_beauty_of_data_visualization
",TEDGlobal 2010
750,Inside an Antarctic time machine,Lee Hotz,"https://www.ted.com/talks/lee_hotz_inside_an_antarctic_time_machine
",TEDGlobal 2010
751,The empathic civilization,Jeremy Rifkin,"https://www.ted.com/talks/jeremy_rifkin_on_the_empathic_civilization
",RSA Animate
752,Learning from Sherman the shark,Jim Toomey,"https://www.ted.com/talks/jim_toomey_learning_from_sherman_the_shark
",Mission Blue Voyage
753,The political chemistry of oil,Lisa Margonelli,"https://www.ted.com/talks/lisa_margonelli_the_political_chemistry_of_oil
",TEDxOilSpill
754,What physics taught me about marketing,Dan Cobley,"https://www.ted.com/talks/dan_cobley_what_physics_taught_me_about_marketing
",TEDGlobal 2010
755,The Happy Planet Index,Nic Marks,"https://www.ted.com/talks/nic_marks_the_happy_planet_index
",TEDGlobal 2010
756,Let the environment guide our development,Johan Rockstrom,"https://www.ted.com/talks/johan_rockstrom_let_the_environment_guide_our_development
",TEDGlobal 2010
757,The technology of the heart,His Holiness the Karmapa,"https://www.ted.com/talks/his_holiness_the_karmapa_the_technology_of_the_heart
",TEDIndia 2009
758,Keep your goals to yourself,Derek Sivers,"https://www.ted.com/talks/derek_sivers_keep_your_goals_to_yourself
",TEDGlobal 2010
759,The world's oldest living things,Rachel Sussman,"https://www.ted.com/talks/rachel_sussman_the_world_s_oldest_living_things
",TEDGlobal 2010
760,The child-driven education,Sugata Mitra,"https://www.ted.com/talks/sugata_mitra_the_child_driven_education
",TEDGlobal 2010
761,Art of substance and absence,Alwar Balasubramaniam,"https://www.ted.com/talks/alwar_balasubramaniam_sculpture_of_substance_and_absence
",TEDIndia 2009
762,An independent diplomat,Carne Ross,"https://www.ted.com/talks/carne_ross_an_independent_diplomat
",Business Innovation Factory
763,Why the live arts matter,Ben Cameron,"https://www.ted.com/talks/ben_cameron_tedxyyc
",TEDxYYC
764,This is broken,Seth Godin,"https://www.ted.com/talks/seth_godin_this_is_broken_1
",Gel Conference
765,Discovering ancient climates in oceans and ice,Rob Dunbar,"https://www.ted.com/talks/rob_dunbar
",Mission Blue Voyage
766,How web video powers global innovation,Chris Anderson,"https://www.ted.com/talks/chris_anderson_how_web_video_powers_global_innovation
",TEDGlobal 2010
767,Our natural sleep cycle is nothing like what we do now,Jessa Gamble,"https://www.ted.com/talks/jessa_gamble_how_to_sleep
",TEDGlobal 2010
768,How social networks predict epidemics,Nicholas Christakis,"https://www.ted.com/talks/nicholas_christakis_how_social_networks_predict_epidemics
",TED@Cannes
769,Hurdy-gurdy for beginners,Caroline Phillips,"https://www.ted.com/talks/caroline_phillips_hurdy_gurdy_for_beginners
",TEDGlobal 2010
770,How pig parts make the world turn,Christien Meindertsma,"https://www.ted.com/talks/christien_meindertsma_on_pig_05049
",TEDGlobal 2010
771,Where good ideas come from,Steven Johnson,"https://www.ted.com/talks/steven_johnson_where_good_ideas_come_from
",TEDGlobal 2010
772,Mothers helping mothers fight HIV,Mitchell Besser,"https://www.ted.com/talks/mitchell_besser_mothers_helping_mothers_fight_hiv
",TEDGlobal 2010
773,Why I am an HIV/AIDS activist,Annie Lennox,"https://www.ted.com/talks/annie_lennox_why_i_am_an_hiv_aids_activist
",TEDGlobal 2010
774,The shape-shifting future of the mobile phone,Fabian Hemmert,"https://www.ted.com/talks/fabian_hemmert_the_shape_shifting_future_of_the_mobile_phone
",TEDxBerlin
775,Shh! Sound health in 8 steps,Julian Treasure,"https://www.ted.com/talks/julian_treasure_shh_sound_health_in_8_steps
",TEDGlobal 2010
776,The early birdwatchers,Tim Birkhead,"https://www.ted.com/talks/tim_birkhead_the_wisdom_of_birds
",The Do Lectures
777,The quantified self,Gary Wolf,"https://www.ted.com/talks/gary_wolf_the_quantified_self
",TED@Cannes
778,I am my connectome,Sebastian Seung,"https://www.ted.com/talks/sebastian_seung
",TEDGlobal 2010
779,Bringing peace to the minds of Afghanistan,Inge Missmahl,"https://www.ted.com/talks/inge_missmahl_brings_peace_to_the_minds_of_afghanistan
",TEDGlobal 2010
780,How Mr. Condom made Thailand a better place for life and love,Mechai Viravaidya,"https://www.ted.com/talks/mechai_viravaidya_how_mr_condom_made_thailand_a_better_place
",TEDxChange
781,Are mushrooms the new plastic?,Eben Bayer,"https://www.ted.com/talks/eben_bayer_are_mushrooms_the_new_plastic
",TEDGlobal 2010
782,An economic reality check,Tim Jackson,"https://www.ted.com/talks/tim_jackson_s_economic_reality_check
",TEDGlobal 2010
783,Tagging tuna in the deep ocean,Barbara Block,"https://www.ted.com/talks/barbara_block_tagging_tuna_in_the_deep_ocean
",Mission Blue Voyage
784,The good news of the decade? We're winning the war against child mortality,Hans Rosling,"https://www.ted.com/talks/hans_rosling_the_good_news_of_the_decade
",TEDxChange
785,The best gift I ever survived,Stacey Kramer,"https://www.ted.com/talks/stacey_kramer_the_best_gift_i_ever_survived
",TED2010
786,The roots of plant intelligence,Stefano Mancuso,"https://www.ted.com/talks/stefano_mancuso_the_roots_of_plant_intelligence
",TEDGlobal 2010
787,What nonprofits can learn from Coca-Cola,Melinda Gates,"https://www.ted.com/talks/melinda_french_gates_what_nonprofits_can_learn_from_coca_cola
",TEDxChange
788,Haiti's disaster of engineering,Peter Haas,"https://www.ted.com/talks/peter_haas_haiti_s_disaster_of_engineering
",TED Senior Fellows at TEDGlobal 2010
789,The art of the eco-mindshift,Natalie Jeremijenko,"https://www.ted.com/talks/natalie_jeremijenko_the_art_of_the_eco_mindshift
",Business Innovation Factory
790,My web playroom,Ze Frank,"https://www.ted.com/talks/ze_frank_s_web_playroom
",TEDGlobal 2010
791,A message to gay teens: It gets better,Joel Burns,"https://www.ted.com/talks/joel_burns_tells_gay_teens_it_gets_better
",Fort Worth City Council
792,"Poverty, money -- and love",Jessica Jackley,"https://www.ted.com/talks/jessica_jackley_poverty_money_and_love
",TEDGlobal 2010
793,The brain in your gut,Heribert Watzke,"https://www.ted.com/talks/heribert_watzke_the_brain_in_your_gut
",TEDGlobal 2010
794,Tough truths about plastic pollution,Dianna Cohen,"https://www.ted.com/talks/dianna_cohen_tough_truths_about_plastic_pollution
",Mission Blue Voyage
795,The power of cartoons,Patrick Chappatte,"https://www.ted.com/talks/patrick_chappatte_the_power_of_cartoons
",TEDGlobal 2010
796,"""(Nothing But) Flowers"" with string quartet","David Byrne, Ethel + Thomas Dolby","https://www.ted.com/talks/david_byrne_sings_nothing_but_flowers
",TED2010
797,Breakthrough designs for ultra-low-cost products,R.A. Mashelkar,"https://www.ted.com/talks/r_a_mashelkar_breakthrough_designs_for_ultra_low_cost_products
",TEDIndia 2009
798,Global power shifts,Joseph Nye,"https://www.ted.com/talks/joseph_nye_on_global_power_shifts
",TEDGlobal 2010
799,Sustainable seafood? Let's get smart,Barton Seaver,"https://www.ted.com/talks/barton_seaver_sustainable_seafood_let_s_get_smart
",Mission Blue Voyage
800,Natural pest control ... using bugs!,Shimon Steinberg,"https://www.ted.com/talks/shimon_steinberg_natural_pest_control_using_bugs
",TEDxTelAviv 2010
801,Glorious visions in animation and performance,Miwa Matreyek,"https://www.ted.com/talks/miwa_matreyek_s_glorious_visions
",TEDGlobal 2010
802,7 ways games reward the brain,Tom Chatfield,"https://www.ted.com/talks/tom_chatfield_7_ways_games_reward_the_brain
",TEDGlobal 2010
803,E-voting without fraud,David Bismark,"https://www.ted.com/talks/david_bismark_e_voting_without_fraud
",TEDGlobal 2010
804,Saving the ocean one island at a time,Greg Stone,"https://www.ted.com/talks/greg_stone_saving_the_ocean_one_island_at_a_time
",Mission Blue Voyage
805,Re-engineering the brain,Gero Miesenboeck,"https://www.ted.com/talks/gero_miesenboeck
",TEDGlobal 2010
806,A one-man orchestra of the imagination,Andrew Bird,"https://www.ted.com/talks/andrew_bird_s_one_man_orchestra_of_the_imagination
",TED2010
807,Teaching design for change,Emily Pilloton,"https://www.ted.com/talks/emily_pilloton_teaching_design_for_change
",TEDGlobal 2010
808,The path to ending ethnic conflicts,Stefan Wolff,"https://www.ted.com/talks/stefan_wolff_the_path_to_ending_ethnic_conflicts
",TEDGlobal 2010
809,America's native prisoners of war,Aaron Huey,"https://www.ted.com/talks/aaron_huey
",TEDxDU 2010
810,Making global labor fair,Auret van Heerden,"https://www.ted.com/talks/auret_van_heerden_making_global_labor_fair
",TEDGlobal 2010
811,Simplifying complexity,Eric Berlow,"https://www.ted.com/talks/eric_berlow_how_complexity_leads_to_simplicity
",TEDGlobal 2010
812,Teaching kids real math with computers,Conrad Wolfram,"https://www.ted.com/talks/conrad_wolfram_teaching_kids_real_math_with_computers
",TEDGlobal 2010
813,A Darwinian theory of beauty,Denis Dutton,"https://www.ted.com/talks/denis_dutton_a_darwinian_theory_of_beauty
",TED2010
814,What a bike ride can teach you,Shimon Schocken,"https://www.ted.com/talks/shimon_schocken_s_rides_of_hope
",TEDxTelAviv 2010
815,My green school dream,John Hardy,"https://www.ted.com/talks/john_hardy_my_green_school_dream
",TEDGlobal 2010
816,Making law on the high seas,Kristina Gjerde,"https://www.ted.com/talks/kristina_gjerde_making_law_on_the_high_seas
",Mission Blue Voyage
817,Protecting the brain against concussion,Kim Gorgens,"https://www.ted.com/talks/kim_gorgens_protecting_the_brain_against_concussion
",TEDxDU 2010
818,"Women, wartime and the dream of peace",Zainab Salbi,"https://www.ted.com/talks/zainab_salbi
",TEDGlobal 2010
819,Why work doesn't happen at work,Jason Fried,"https://www.ted.com/talks/jason_fried_why_work_doesn_t_happen_at_work
",TEDxMidwest
820,Creative houses from reclaimed stuff,Dan Phillips,"https://www.ted.com/talks/dan_phillips_creative_houses_from_reclaimed_stuff
",TEDxHouston
821,What's wrong with our food system,Birke Baehr,"https://www.ted.com/talks/birke_baehr_what_s_wrong_with_our_food_system
",TEDxNextGenerationAsheville
822,"The walk from ""no"" to ""yes""",William Ury,"https://www.ted.com/talks/william_ury
",TEDxMidwest
823,Why not eat insects?,Marcel Dicke,"https://www.ted.com/talks/marcel_dicke_why_not_eat_insects
",TEDGlobal 2010
824,How I taught rats to sniff out land mines,Bart Weetjens,"https://www.ted.com/talks/bart_weetjens_how_i_taught_rats_to_sniff_out_land_mines
",TEDxRotterdam 2010
825,A vision for sustainable restaurants,Arthur Potts Dawson,"https://www.ted.com/talks/arthur_potts_dawson_a_vision_for_sustainable_restaurants
",TEDGlobal 2010
826,A feminine response to Iceland's financial crash,Halla Tómasdóttir,"https://www.ted.com/talks/halla_tomasdottir
",TEDWomen 2010
827,A call to men,Tony Porter,"https://www.ted.com/talks/tony_porter_a_call_to_men
",TEDWomen 2010
828,A police chief with a difference,Kiran Bedi,"https://www.ted.com/talks/kiran_bedi_a_police_chief_with_a_difference
",TEDWomen 2010
829,New data on the rise of women,Hanna Rosin,"https://www.ted.com/talks/hanna_rosin_new_data_on_the_rise_of_women
",TEDWomen 2010
830,How to learn? From mistakes,Diana Laufenberg,"https://www.ted.com/talks/diana_laufenberg_3_ways_to_teach
",TEDxMidAtlantic
831,Let's talk parenting taboos,Rufus Griscom + Alisa Volkman,"https://www.ted.com/talks/rufus_griscom_alisa_volkman_let_s_talk_parenting_taboos
",TEDWomen 2010
832,The case for collaborative consumption,Rachel Botsman,"https://www.ted.com/talks/rachel_botsman_the_case_for_collaborative_consumption
",TEDxSydney
833,Changing education paradigms,Ken Robinson,"https://www.ted.com/talks/ken_robinson_changing_education_paradigms
",RSA Animate
834,Life lessons from big cats,Beverly + Dereck Joubert,"https://www.ted.com/talks/beverly_dereck_joubert_life_lessons_from_big_cats
",TEDWomen 2010
835,Why we have too few women leaders,Sheryl Sandberg,"https://www.ted.com/talks/sheryl_sandberg_why_we_have_too_few_women_leaders
",TEDWomen 2010
836,3 stories of local eco-entrepreneurship,Majora Carter,"https://www.ted.com/talks/majora_carter_3_stories_of_local_ecoactivism
",TEDxMidwest
837,The power of vulnerability,Brené Brown,"https://www.ted.com/talks/brene_brown_on_vulnerability
",TEDxHouston
838,Using our practical wisdom,Barry Schwartz,"https://www.ted.com/talks/barry_schwartz_using_our_practical_wisdom
",TEDSalon NY2011
839,How to succeed? Get more sleep,Arianna Huffington,"https://www.ted.com/talks/arianna_huffington_how_to_succeed_get_more_sleep
",TEDWomen 2010
840,On reading the Koran,Lesley Hazleton,"https://www.ted.com/talks/lesley_hazelton_on_reading_the_koran
",TEDxRainier
841,Your brain on improv,Charles Limb,"https://www.ted.com/talks/charles_limb_your_brain_on_improv
",TEDxMidAtlantic
842,"A test that finds 3x more breast tumors, and why it's not available to you",Deborah Rhodes,"https://www.ted.com/talks/deborah_rhodes
",TEDWomen 2010
843,The 3 A's of awesome,Neil Pasricha,"https://www.ted.com/talks/neil_pasricha_the_3_a_s_of_awesome
",TEDxToronto 2010
844,A realistic vision for world peace,Jody Williams,"https://www.ted.com/talks/jody_williams_a_realistic_vision_for_world_peace
",TEDWomen 2010
845,We are all cyborgs now,Amber Case,"https://www.ted.com/talks/amber_case_we_are_all_cyborgs_now
",TEDWomen 2010
846,How I built a toaster -- from scratch,Thomas Thwaites,"https://www.ted.com/talks/thomas_thwaites_how_i_built_a_toaster_from_scratch
",TEDSalon London 2010
847,"Take ""the Other"" to lunch",Elizabeth Lesser,"https://www.ted.com/talks/elizabeth_lesser_take_the_other_to_lunch
",TEDWomen 2010
848,Gaming to re-engage boys in learning,Ali Carr-Chellman,"https://www.ted.com/talks/ali_carr_chellman_gaming_to_re_engage_boys_in_learning
",TEDxPSU
849,Addicted to risk,Naomi Klein,"https://www.ted.com/talks/naomi_klein_addicted_to_risk
",TEDWomen 2010
850,Singing after a double lung transplant,Charity Tillemann-Dick,"https://www.ted.com/talks/charity_tilleman_dick_singing_after_a_double_lung_transplant
",TEDMED 2010
851,The economic injustice of plastic,Van Jones,"https://www.ted.com/talks/van_jones_the_economic_injustice_of_plastic
",TEDxGreatPacificGarbagePatch
852,Visualizing the medical data explosion,Anders Ynnerman,"https://www.ted.com/talks/anders_ynnerman_visualizing_the_medical_data_explosion
",TEDxGöteborg 2010
853,Silicon-based comedy,Heather Knight,"https://www.ted.com/talks/heather_knight_silicon_based_comedy
",TEDWomen 2010
854,Understanding the rise of China,Martin Jacques,"https://www.ted.com/talks/martin_jacques_understanding_the_rise_of_china
",TEDSalon London 2010
855,It's time to redesign medical data,Thomas Goetz,"https://www.ted.com/talks/thomas_goetz_it_s_time_to_redesign_medical_data
",TEDMED 2010
856,Drawing on humor for change,Liza Donnelly,"https://www.ted.com/talks/liza_donnelly_drawing_upon_humor_for_change
",TEDWomen 2010
857,"Know thyself, with a brain scanner",Ariel Garten,"https://www.ted.com/talks/ariel_garten_know_thyself_with_a_brain_scanner
",TEDxToronto 2011
858,The council of dads,Bruce Feiler,"https://www.ted.com/talks/bruce_feiler_the_council_of_dads
",TEDMED 2010
859,Reviving New York's rivers -- with oysters!,Kate Orff,"https://www.ted.com/talks/kate_orff_oysters_as_architecture
",TEDWomen 2010
860,We are makers,Dale Dougherty,"https://www.ted.com/talks/dale_dougherty_we_are_makers
",TED@MotorCity
861,Social media and the end of gender,Johanna Blakley,"https://www.ted.com/talks/johanna_blakley_social_media_and_the_end_of_gender
",TEDWomen 2010
862,Are we born to run?,Christopher McDougall,"https://www.ted.com/talks/christopher_mcdougall_are_we_born_to_run
",TEDxPennQuarter
863,"Poems of war, peace, women, power",Suheir Hammad,"https://www.ted.com/talks/suheir_hammad_poems_of_war_peace_women_power
",TEDWomen 2010
864,How to make work-life balance work,Nigel Marsh,"https://www.ted.com/talks/nigel_marsh_how_to_make_work_life_balance_work
",TEDxSydney
865,The rise of personal robots,Cynthia Breazeal,"https://www.ted.com/talks/cynthia_breazeal_the_rise_of_personal_robots
",TEDWomen 2010
866,Mother and daughter doctor-heroes,Hawa Abdi + Deqo Mohamed,"https://www.ted.com/talks/mother_and_daughter_doctor_heroes_hawa_abdi_deqo_mohamed
",TEDWomen 2010
867,Using nature's genius in architecture,Michael Pawlyn,"https://www.ted.com/talks/michael_pawlyn_using_nature_s_genius_in_architecture
",TEDSalon London 2010
868,A whistleblower you haven't heard,Geert Chatrou,"https://www.ted.com/talks/a_whistleblower_you_haven_t_heard
",TEDxRotterdam 2010
869,Reconnecting with compassion,Krista Tippett,"https://www.ted.com/talks/krista_tippett_reconnecting_with_compassion
",TEDPrize@UN
870,The linguistic genius of babies,Patricia Kuhl,"https://www.ted.com/talks/patricia_kuhl_the_linguistic_genius_of_babies
",TEDxRainier
871,Inspiring a life of immersion,Jacqueline Novogratz,"https://www.ted.com/talks/jacqueline_novogratz_inspiring_a_life_of_immersion
",TEDWomen 2010
872,"The future of business is the ""mesh""",Lisa Gansky,"https://www.ted.com/talks/lisa_gansky_the_future_of_business_is_the_mesh
",TED@MotorCity
873,On being a woman and a diplomat,Madeleine Albright,"https://www.ted.com/talks/madeleine_albright_on_being_a_woman_and_a_diplomat
",TEDWomen 2010
874,How to use experts -- and when not to,Noreena Hertz,"https://www.ted.com/talks/noreena_hertz_how_to_use_experts_and_when_not_to
",TEDSalon London 2010
875,Saving faces: A facial surgeon's craft,Iain Hutchison,"https://www.ted.com/talks/iain_hutchison_saving_faces
",TEDGlobal 2010
876,Curating humanity's heritage,Elizabeth Lindsey,"https://www.ted.com/talks/elizabeth_lindsey_curating_humanity_s_heritage
",TEDWomen 2010
877,Understanding cancer through proteomics,Danny Hillis,"https://www.ted.com/talks/danny_hillis_two_frontiers_of_cancer_treatment
",TEDMED 2010
878,"A modern take on piano, violin, cello",Ahn Trio,"https://www.ted.com/talks/ahn_trio_a_modern_take_on_piano_violin_cello
",TEDWomen 2010
879,A historic moment in the Arab world,Wadah Khanfar,"https://www.ted.com/talks/wadah_khanfar_a_historic_moment_in_the_arab_world
",TED2011
880,My wish: Use art to turn the world inside out,JR,"https://www.ted.com/talks/jr_s_ted_prize_wish_use_art_to_turn_the_world_inside_out
",TED2011
881,Inside the Egyptian revolution,Wael Ghonim,"https://www.ted.com/talks/wael_ghonim_inside_the_egyptian_revolution
",TED2011
882,How state budgets are breaking US schools,Bill Gates,"https://www.ted.com/talks/bill_gates_how_state_budgets_are_breaking_us_schools
",TED2011
883,Printing a human kidney,Anthony Atala,"https://www.ted.com/talks/anthony_atala_printing_a_human_kidney
",TED2011
884,This isn't her mother's feminism,Courtney E. Martin,"https://www.ted.com/talks/courtney_martin_reinventing_feminism
",TEDWomen 2010
885,Let's use video to reinvent education,Sal Khan,"https://www.ted.com/talks/salman_khan_let_s_use_video_to_reinvent_education
",TED2011
886,The birth of a word,Deb Roy,"https://www.ted.com/talks/deb_roy_the_birth_of_a_word
",TED2011
887,How to keep rivers and streams flowing,Rob Harmon,"https://www.ted.com/talks/rob_harmon_how_the_market_can_keep_streams_flowing
",TEDxRainier
888,The social animal,David Brooks,"https://www.ted.com/talks/david_brooks_the_social_animal
",TED2011
889,The sound the universe makes,Janna Levin,"https://www.ted.com/talks/janna_levin_the_sound_the_universe_makes
",TED2011
890,A life lesson from a volunteer firefighter,Mark Bezos,"https://www.ted.com/talks/mark_bezos_a_life_lesson_from_a_volunteer_firefighter
",TED2011
891,Why light needs darkness,Rogier van der Heide,"https://www.ted.com/talks/rogier_van_der_heide_why_light_needs_darkness
",TEDxAmsterdam
892,If I should have a daughter ...,Sarah Kay,"https://www.ted.com/talks/sarah_kay_if_i_should_have_a_daughter
",TED2011
893,The magic washing machine,Hans Rosling,"https://www.ted.com/talks/hans_rosling_and_the_magic_washing_machine
",TEDWomen 2010
894,"Evolution's gift of play, from bonobo apes to humans",Isabel Behncke,"https://www.ted.com/talks/isabel_behncke_evolution_s_gift_of_play_from_bonobo_apes_to_humans
",TED2011
895,It's time to question bio-engineering,Paul Root Wolpe,"https://www.ted.com/talks/paul_root_wolpe_it_s_time_to_question_bio_engineering
",TEDxPeachtree
896,Human exoskeletons -- for war and healing,Eythor Bender,"https://www.ted.com/talks/eythor_bender_demos_human_exoskeletons
",TED2011
897,Singing the primal mystery,Claron McFadden,"https://www.ted.com/talks/claron_mcfadden_singing_the_primal_mystery
",TEDxAmsterdam
898,Don't insist on English!,Patricia Ryan ,"https://www.ted.com/talks/patricia_ryan_ideas_in_all_languages_not_just_english
",TEDxDubai
899,"Cracking Stuxnet, a 21st-century cyber weapon",Ralph Langner,"https://www.ted.com/talks/ralph_langner_cracking_stuxnet_a_21st_century_cyberweapon
",TED2011
900,The genius puppetry behind War Horse,Handspring Puppet Co.,"https://www.ted.com/talks/handpring_puppet_co_the_genius_puppetry_behind_war_horse
",TED2011
901,Google's driverless car,Sebastian Thrun,"https://www.ted.com/talks/sebastian_thrun_google_s_driverless_car
",TED2011
902,"A virtual choir 2,000 voices strong",Eric Whitacre,"https://www.ted.com/talks/eric_whitacre_a_virtual_choir_2_000_voices_strong
",TED2011
903,Hands-on science with squishy circuits,AnnMarie Thomas,"https://www.ted.com/talks/annmarie_thomas_squishy_circuits
",TED2011
904,"Listen, learn ... then lead",Stanley McChrystal,"https://www.ted.com/talks/stanley_mcchrystal
",TED2011
905,Everyday compassion at Google,Chade-Meng Tan,"https://www.ted.com/talks/chade_meng_tan_everyday_compassion_at_google
",TEDPrize@UN
906,The greatest TED Talk ever sold,Morgan Spurlock,"https://www.ted.com/talks/morgan_spurlock_the_greatest_ted_talk_ever_sold
",TED2011
907,The invention that unlocked a locked-in artist,Mick Ebeling,"https://www.ted.com/talks/mick_ebeling_the_invention_that_unlocked_a_locked_in_artist
",TEDActive 2011
908,Looking past limits,Caroline Casey,"https://www.ted.com/talks/caroline_casey_looking_past_limits
",TEDWomen 2010
909,A song inspired by the ocean,Jackson Browne,"https://www.ted.com/talks/jackson_browne_if_i_could_be_anywhere
",TEDxGreatPacificGarbagePatch
910,The history of our world in 18 minutes,David Christian,"https://www.ted.com/talks/david_christian_big_history
",TED2011
911,The antidote to apathy,Dave Meslin,"https://www.ted.com/talks/dave_meslin_the_antidote_to_apathy
",TEDxToronto 2010
912,Remaking my voice,Roger Ebert,"https://www.ted.com/talks/roger_ebert_remaking_my_voice
",TED2011
913,Open-sourced blueprints for civilization,Marcin Jakubowski,"https://www.ted.com/talks/marcin_jakubowski
",TED2011
914,"Transplant cells, not organs",Susan Lim,"https://www.ted.com/talks/susan_lim
",INK Conference
915,A radical experiment in empathy,Sam Richards,"https://www.ted.com/talks/sam_richards_a_radical_experiment_in_empathy
",TEDxPSU
916,On being wrong,Kathryn Schulz,"https://www.ted.com/talks/kathryn_schulz_on_being_wrong
",TED2011
917,Teaching with the World Peace Game,John Hunter,"https://www.ted.com/talks/john_hunter_on_the_world_peace_game
",TED2011
918,What it takes to do extreme astrophysics,Anil Ananthaswamy,"https://www.ted.com/talks/anil_ananthaswamy
",INK Conference
919,3 things I learned while my plane crashed,Ric Elias,"https://www.ted.com/talks/ric_elias
",TED2011
920,Are we ready for neo-evolution?,Harvey Fineberg,"https://www.ted.com/talks/harvey_fineberg_are_we_ready_for_neo_evolution
",TED2011
921,The security mirage,Bruce Schneier,"https://www.ted.com/talks/bruce_schneier
",TEDxPSU
922,Using nature to grow batteries,Angela Belcher,"https://www.ted.com/talks/angela_belcher_using_nature_to_grow_batteries
",TEDxCaltech
923,A next-generation digital book,Mike Matas,"https://www.ted.com/talks/mike_matas
",TED2011
924,Turning trash into toys for learning,Arvind Gupta,"https://www.ted.com/talks/arvind_gupta_turning_trash_into_toys_for_learning
",INK Conference
925,"Beware online ""filter bubbles""",Eli Pariser,"https://www.ted.com/talks/eli_pariser_beware_online_filter_bubbles
",TED2011
926,"The mothers who found forgiveness, friendship",Aicha el-Wafi + Phyllis Rodriguez,"https://www.ted.com/talks/9_11_healing_the_mothers_who_found_forgiveness_friendship
",TEDWomen 2010
927,Architecture that senses and responds,Carlo Ratti,"https://www.ted.com/talks/carlo_ratti_architecture_that_senses_and_responds
",TED2011
928,Grow your own clothes,Suzanne Lee,"https://www.ted.com/talks/suzanne_lee_grow_your_own_clothes
",TED2011
