,name,description,duration,film_date,languages,num_speaker,published_date,url
1641,Enrique Peñalosa: Why buses represent democracy in action,"""An advanced city is not one where even the poor use cars, but rather one where even the rich use public transport,"" argues Enrique Peñalosa. In this spirited talk, the mayor of Bogotá shares some of the tactics he used to change the transportation dynamic in the Colombian capital... and suggests ways to think about building smart cities of the future.",857,1379635200,29,1,1386345659,"https://www.ted.com/talks/enrique_penalosa_why_buses_represent_democracy_in_action
"
1642,Boyd Varty: What I learned from Nelson Mandela,"""In the cathedral of the wild, we get to see the best parts of ourselves reflected back to us."" Boyd Varty, a wildlife activist, shares stories of animals, humans and their interrelatedness, or ""ubuntu"" -- defined as, ""I am, because of you."" And he dedicates the talk to South African leader Nelson Mandela, the human embodiment of that same great-hearted, generous spirit.",899,1386201600,36,1,1386605235,"https://www.ted.com/talks/boyd_varty_what_i_learned_from_nelson_mandela
"
1643,Diébédo Francis Kéré: How to build with clay ... and community,"Diébédo Francis Kéré knew exactly what he wanted to do when he got his degree in architecture... He wanted to go home to Gando in Burkina Faso, to help his neighbors reap the benefit of his education. In this charming talk, Kéré shows off some of the beautiful structures he's helped to build in his small village in the years since then, including an award-winning primary school made from clay by the entire community.",731,1379635200,29,1,1386691218,"https://www.ted.com/talks/diebedo_francis_kere_how_to_build_with_clay_and_community
"
1644,Eddy Cartaya: My glacier cave discoveries,"Snow Dragon. Pure Imagination. Frozen Minotaur. These are the names Eddy Cartaya and his climbing partner Brent McGregor gave three glacier caves that they were the first to explore. As the Sandy Glacier slowly slides down Mount Hood in Oregon, the caves and tunnels inside it morph annually thanks to warm water from above and warm air from below. At TEDYouth, Cartaya takes us inside these magical spaces where the ice glows in bright blues and greens, and where artifacts rain from the ceiling.",482,1384560000,26,1,1386777481,"https://www.ted.com/talks/eddy_cartaya_my_glacier_cave_discoveries
"
1645,Stephen Cave: The 4 stories we tell ourselves about death,"Philosopher Stephen Cave begins with a dark but compelling question: When did you first realize you were going to die? And even more interesting: Why do we humans so often resist the inevitability of death? Cave explores four narratives -- common across civilizations -- that we tell ourselves ""in order to help us manage the terror of death.""",933,1374105600,33,1,1386864306,"https://www.ted.com/talks/stephen_cave_the_4_stories_we_tell_ourselves_about_death
"
1646,Rose George: Inside the secret shipping industry,"Almost everything we own and use, at some point, travels to us by container ship, through a vast network of ocean routes and ports that most of us know almost nothing about. Journalist Rose George tours us through the world of shipping, the underpinning of consumer civilization.",683,1382054400,26,1,1386950328,"https://www.ted.com/talks/rose_george_inside_the_secret_shipping_industry
"
1647,Toni Griffin: A new vision for rebuilding Detroit,"Once the powerhouse of America's industrial might, Detroit is more recently known in the popular imagination as a fabulous ruin, crumbling and bankrupt. But city planner Toni Griffin asks us to look again -- and to imagine an entrepreneurial future for the city's 700,000 residents.",708,1381449600,24,1,1387209522,"https://www.ted.com/talks/toni_griffin_a_new_vision_for_rebuilding_detroit
"
1648,Marco Annunziata: Welcome to the age of the industrial internet,"Everyone's talking about the ""Internet of Things,"" but what exactly does that mean for our future? In this thoughtful talk, economist Marco Annunziata looks at how technology is transforming the industrial sector, creating machines that can see, feel, sense and react -- so they can be operated far more efficiently. Think: airplane parts that send an alert when they need to be serviced, or wind turbines that communicate with one another to generate more electricity. It's a future with exciting implications for us all.",756,1383091200,29,1,1387295998,"https://www.ted.com/talks/marco_annunziata_welcome_to_the_age_of_the_industrial_internet
"
1649,"Andrew Solomon: Depression, the secret we share","""The opposite of depression is not happiness, but vitality, and it was vitality that seemed to seep away from me in that moment."" In a talk equal parts eloquent and devastating, writer Andrew Solomon takes you to the darkest corners of his mind during the years he battled depression. That led him to an eye-opening journey across the world to interview others with depression -- only to discover that, to his surprise, the more he talked, the more people wanted to tell their own stories.",1761,1382486400,33,1,1387382509,"https://www.ted.com/talks/andrew_solomon_depression_the_secret_we_share
"
1650,Krista Donaldson: The $80 prosthetic knee that's changing lives,"We've made incredible advances in technology in recent years, but too often it seems only certain fortunate people can benefit. Engineer Krista Donaldson introduces the ReMotion knee, a prosthetic device for above-knee amputees, many of whom earn less than $4 a day. The design contains best-in-class technology and yet is far cheaper than other prosthetics on the market.",595,1386201600,30,1,1387468812,"https://www.ted.com/talks/krista_donaldson_the_80_prosthetic_knee_that_s_changing_lives
"
1651,Paul Piff: Does money make you mean?,"It's amazing what a rigged game of Monopoly can reveal. In this entertaining but sobering talk, social psychologist Paul Piff shares his research into how people behave when they feel wealthy. (Hint: badly.) But while the problem of inequality is a complex and daunting challenge, there's good news too.",995,1380672000,32,1,1387555222,"https://www.ted.com/talks/paul_piff_does_money_make_you_mean
"
1652,"Diana Nyad: Never, ever give up","In the pitch-black night, stung by jellyfish, choking on salt water, singing to herself, hallucinating … Diana Nyad just kept on swimming. And that's how she finally achieved her lifetime goal as an athlete: an extreme 100-mile swim from Cuba to Florida -- at age 64. Hear her story.",935,1386201600,36,1,1387814467,"https://www.ted.com/talks/diana_nyad_never_ever_give_up
"
1653,Mick Cornett: How an obese town lost a million pounds,"Oklahoma City is a midsized town that had a big problem: It was among the most obese towns in America. Mayor Mick Cornett realized that, to make his city a great place to work and live, it had to become healthier too. In this charming talk, he walks us through the interlocking changes that helped OKC drop a collective million pounds (450,000 kilos).",915,1365379200,28,1,1388679718,"https://www.ted.com/talks/mick_cornett_how_an_obese_town_lost_a_million_pounds
"
1654,Maysoon Zayid: I got 99 problems ... palsy is just one,"""I have cerebral palsy. I shake all the time,"" Maysoon Zayid announces at the beginning of this exhilarating, hilarious talk. (Really, it's hilarious.) ""I'm like Shakira meets Muhammad Ali."" With grace and wit, the Arab-American comedian takes us on a whistle-stop tour of her adventures as an actress, stand-up comic, philanthropist and advocate for the disabled.",853,1386115200,42,1,1388764833,"https://www.ted.com/talks/maysoon_zayid_i_got_99_problems_palsy_is_just_one
"
1655,Suzanne Talhouk: Don't kill your language,"More and more, English is a global language; speaking it is perceived as a sign of being modern. But -- what do we lose when we leave behind our mother tongues? Suzanne Talhouk makes an impassioned case to love your own language, and to cherish what it can express that no other language can. In Arabic with subtitles.",852,1355788800,33,1,1389025894,"https://www.ted.com/talks/suzanne_talhouk_don_t_kill_your_language
"
1656,Roger Stein: A bold new way to fund drug research,"Believe it or not, about 20 years' worth of potentially life-saving drugs are sitting in labs right now, untested. Why? Because they can't get the funding to go to trials; the financial risk is too high. Roger Stein is a finance guy, and he thinks deeply about mitigating risk. He and some colleagues at MIT came up with a promising new financial model that could move hundreds of drugs into the testing pipeline.",669,1383696000,21,1,1389110427,"https://www.ted.com/talks/roger_stein_a_bold_new_way_to_fund_drug_research
"
